Assembler,Sample,Time(s)
megahit,ERR4205028,12.913166045
trinity,ERR4205028,4.720627758
spades,ERR4205028,48.182761201000005
metaspades,ERR4205028,57.393039508
abyss21,ERR4205028,24.950663403000004
abyss63,ERR4205028,25.225564993000003
abyss99,ERR4205028,21.305938628
velvet21,ERR4205028,23.228962046
metavelvet21,ERR4205028,22.901175014
velvet63,ERR4205028,15.556345705
metavelvet63,ERR4205028,17.004768714
velvet99,ERR4205028,9.828300784
metavelvet99,ERR4205028,8.150343705
ray21,ERR4205028,276.8037074
ray63,ERR4205028,289.60170835
ray99,ERR4205028,279.52049348
megahit,ERR4206114,6.083159577000001
trinity,ERR4206114,0.736502958
spades,ERR4206114,20.796291343
metaspades,ERR4206114,24.50199346
abyss21,ERR4206114,9.236779786
abyss63,ERR4206114,10.434483067
abyss99,ERR4206114,8.927740542
velvet21,ERR4206114,7.255647224
metavelvet21,ERR4206114,7.514406361
velvet63,ERR4206114,4.743553851000001
metavelvet63,ERR4206114,4.750442275
velvet99,ERR4206114,2.9477380230000003
metavelvet99,ERR4206114,3.070912167
ray21,ERR4206114,132.45764949600002
ray63,ERR4206114,148.414679238
ray99,ERR4206114,148.871491446
megahit,ERR4205392,6.963433854
trinity,ERR4205392,0.54270052
spades,ERR4205392,39.087341369
metaspades,ERR4205392,30.210199709
abyss21,ERR4205392,12.015436286
abyss63,ERR4205392,14.856825998
abyss99,ERR4205392,12.812177539
velvet21,ERR4205392,10.469970948
metavelvet21,ERR4205392,10.398131114
velvet63,ERR4205392,6.831624881000001
metavelvet63,ERR4205392,6.864870016
velvet99,ERR4205392,3.7345297410000002
metavelvet99,ERR4205392,3.7699364
ray21,ERR4205392,113.940715629
ray63,ERR4205392,111.569649969
ray99,ERR4205392,111.985032754
megahit,ERR4206809,3.173605779
trinity,ERR4206809,0.7359826270000001
spades,ERR4206809,7.097002703999999
metaspades,ERR4206809,10.191372847
abyss21,ERR4206809,3.0487629210000002
abyss63,ERR4206809,3.353427333
abyss99,ERR4206809,2.939744535
velvet21,ERR4206809,1.5841641080000002
metavelvet21,ERR4206809,1.598728619
velvet63,ERR4206809,1.076821507
metavelvet63,ERR4206809,1.083651764
velvet99,ERR4206809,0.818610218
metavelvet99,ERR4206809,0.814497185
ray21,ERR4206809,63.740788243000004
ray63,ERR4206809,60.854670892
ray99,ERR4206809,60.303132526000006
megahit,ERR4205789,7.400936703999999
trinity,ERR4205789,0.6974757309999999
spades,ERR4205789,36.003239176
metaspades,ERR4205789,32.158350408000004
abyss21,ERR4205789,13.188150385999998
abyss63,ERR4205789,15.334865860999999
abyss99,ERR4205789,13.244632043
velvet21,ERR4205789,11.22922422
metavelvet21,ERR4205789,11.916034171
velvet63,ERR4205789,7.32975352
metavelvet63,ERR4205789,7.10325
velvet99,ERR4205789,4.106706721
metavelvet99,ERR4205789,4.090315352
ray21,ERR4205789,164.506714881
ray63,ERR4205789,165.13095249399998
ray99,ERR4205789,167.899279232
megahit,ERR4208556,5.266598763999999
trinity,ERR4208556,0.7259033709999999
spades,ERR4208556,20.390781962000002
metaspades,ERR4208556,19.859986557
abyss21,ERR4208556,7.5363765670000005
abyss63,ERR4208556,8.94822834
abyss99,ERR4208556,7.753096926
velvet21,ERR4208556,5.499374756
metavelvet21,ERR4208556,5.520045205
velvet63,ERR4208556,3.59288033
metavelvet63,ERR4208556,3.61000862
velvet99,ERR4208556,2.134507115
metavelvet99,ERR4208556,2.216455185
