Platform,Run,SRA_Sample,Instrument,LibraryLayout,Assay_Type,LibrarySelection,LibrarySource,Organism,geo_loc_name,host,host_disease,Consent,LibType
ILLUMINA,ERR4304935,ERS4669610,NextSeq 550,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,NA,NA,NA,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,SRR11828424,SRS6693450,Illumina MiSeq,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,USA,Homo sapiens,severe acute respiratory syndrome,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,ERR4085145,ERS4538422,Illumina MiSeq,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,NA,NA,NA,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,SRR11772246,SRS6644929,Illumina MiSeq,PAIRED,AMPLICON,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,USA:Virginia,Homo sapiens,COVID-19,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,SRR11577932,SRS6508566,NextSeq 550,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Australia: Victoria,Homo sapiens,COVID-19,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,SRR11494716,SRS6439063,NextSeq 550,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Australia: Victoria,Homo sapiens,COVID-19,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,SRR11577969,SRS6508529,NextSeq 550,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Australia: Victoria,Homo sapiens,COVID-19,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,SRR11828432,SRS6693442,Illumina MiSeq,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,USA,Homo sapiens,severe acute respiratory syndrome,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,SRR12162373,SRS6956751,NextSeq 500,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Australia: Victoria,Homo sapiens,COVID-19,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,ERR4085119,ERS4535832,Illumina MiSeq,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,NA,NA,NA,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,ERR4210055,ERS4631484,Illumina MiSeq,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,NA,NA,NA,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,ERR4305161,ERS4626043,NextSeq 550,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,NA,NA,NA,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,SRR12019398,SRS6845538,Illumina NovaSeq 6000,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,USA:CA,Homo sapiens,COVID-19,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,SRR12045921,SRS6866483,Illumina MiSeq,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,USA,Homo sapiens,severe acute respiratory syndrome,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,SRR11869148,SRS6730836,Illumina MiSeq,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,USA,Homo sapiens,severe acute respiratory syndrome,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,SRR12017041,SRS6843750,Illumina MiSeq,PAIRED,AMPLICON,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,USA: Virginia,Homo sapiens,COVID-19,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,ERR4238596,ERS4625388,NextSeq 500,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,NA,NA,NA,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,ERR4304895,ERS4670647,NextSeq 550,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,NA,NA,NA,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,SRR11597206,SRS6525339,Illumina MiSeq,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,China:Shanghai,Homo sapiens,COVID-19,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,SRR11695911,SRS6598923,NextSeq 550,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Australia: Victoria,Homo sapiens,COVID-19,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,SRR11578126,SRS6508882,NextSeq 550,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Australia: Victoria,Homo sapiens,COVID-19,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,SRR11494662,SRS6439117,NextSeq 550,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Australia: Victoria,Homo sapiens,COVID-19,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,SRR11826839,SRS6692095,Illumina MiniSeq,PAIRED,AMPLICON,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Australia: NSW,Homo sapiens,Respiratory diease,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,ERR4238292,ERS4625318,NextSeq 500,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,NA,NA,NA,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,ERR4244453,ERS4662662,Illumina MiSeq,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,NA,NA,NA,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,SRR11578289,SRS6508719,Illumina iSeq 100,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,Australia: Victoria,Homo sapiens,COVID-19,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,SRR11479040,SRS6424864,Illumina MiSeq,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,USA,Homo sapiens,severe acute respiratory syndrome,public,PE: AMPLICON of VIRAL RNA
ILLUMINA,ERR4305284,ERS4629838,NextSeq 550,PAIRED,AMPLICON,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,NA,NA,NA,public,PE: AMPLICON of VIRAL RNA
