Assembler,Sample,Ram_percentage
megahit,ERR4205028,13.0
trinity,ERR4205028,12.2
spades,ERR4205028,23.7
metaspades,ERR4205028,34.2
abyss21,ERR4205028,17.1
abyss63,ERR4205028,18.0
abyss99,ERR4205028,17.9
velvet21,ERR4205028,21.0
metavelvet21,ERR4205028,21.0
velvet63,ERR4205028,17.0
metavelvet63,ERR4205028,17.3
velvet99,ERR4205028,16.5
metavelvet99,ERR4205028,16.4
ray21,ERR4205028,18.5
ray63,ERR4205028,18.2
ray99,ERR4205028,18.2
megahit,ERR4206114,12.6
trinity,ERR4206114,12.2
spades,ERR4206114,16.5
metaspades,ERR4206114,30.1
abyss21,ERR4206114,17.0
abyss63,ERR4206114,17.4
abyss99,ERR4206114,17.3
velvet21,ERR4206114,15.7
metavelvet21,ERR4206114,15.7
velvet63,ERR4206114,15.7
metavelvet63,ERR4206114,15.3
velvet99,ERR4206114,13.4
metavelvet99,ERR4206114,15.7
ray21,ERR4206114,17.5
ray63,ERR4206114,17.6
ray99,ERR4206114,17.7
megahit,ERR4205392,12.7
trinity,ERR4205392,12.3
spades,ERR4205392,17.5
metaspades,ERR4205392,31.2
abyss21,ERR4205392,17.3
abyss63,ERR4205392,18.0
abyss99,ERR4205392,18.0
velvet21,ERR4205392,17.0
metavelvet21,ERR4205392,17.0
velvet63,ERR4205392,14.9
metavelvet63,ERR4205392,16.5
velvet99,ERR4205392,16.5
metavelvet99,ERR4205392,13.6
ray21,ERR4205392,17.6
ray63,ERR4205392,17.6
ray99,ERR4205392,17.6
megahit,ERR4206809,12.7
trinity,ERR4206809,12.3
spades,ERR4206809,13.5
metaspades,ERR4206809,23.4
abyss21,ERR4206809,16.8
abyss63,ERR4206809,17.0
abyss99,ERR4206809,16.8
velvet21,ERR4206809,13.3
metavelvet21,ERR4206809,13.3
velvet63,ERR4206809,12.3
metavelvet63,ERR4206809,12.3
velvet99,ERR4206809,12.3
metavelvet99,ERR4206809,12.2
ray21,ERR4206809,17.4
ray63,ERR4206809,17.0
ray99,ERR4206809,17.0
megahit,ERR4205789,12.8
trinity,ERR4205789,12.4
spades,ERR4205789,18.3
metaspades,ERR4205789,31.9
abyss21,ERR4205789,17.2
abyss63,ERR4205789,18.1
abyss99,ERR4205789,18.0
velvet21,ERR4205789,17.5
metavelvet21,ERR4205789,17.5
velvet63,ERR4205789,16.5
metavelvet63,ERR4205789,16.5
velvet99,ERR4205789,15.2
metavelvet99,ERR4205789,16.6
ray21,ERR4205789,18.0
ray63,ERR4205789,18.0
ray99,ERR4205789,18.0
megahit,ERR4208556,12.7
trinity,ERR4208556,12.4
spades,ERR4208556,15.6
metaspades,ERR4208556,29.8
abyss21,ERR4208556,17.2
abyss63,ERR4208556,17.5
abyss99,ERR4208556,17.3
velvet21,ERR4208556,15.3
metavelvet21,ERR4208556,15.4
velvet63,ERR4208556,15.7
metavelvet63,ERR4208556,14.0
velvet99,ERR4208556,13.5
metavelvet99,ERR4208556,13.5
ray21,ERR4208556,17.5
ray63,ERR4208556,17.5
ray99,ERR4208556,17.5
megahit,ERR4208761,12.8
trinity,ERR4208761,12.5
spades,ERR4208761,14.5
metaspades,ERR4208761,28.0
abyss21,ERR4208761,17.0
abyss63,ERR4208761,17.1
abyss99,ERR4208761,17.1
velvet21,ERR4208761,15.4
metavelvet21,ERR4208761,14.5
velvet63,ERR4208761,15.3
metavelvet63,ERR4208761,13.6
velvet99,ERR4208761,15.5
metavelvet99,ERR4208761,14.8
ray21,ERR4208761,17.6
ray63,ERR4208761,17.4
ray99,ERR4208761,17.4
megahit,ERR4204831,12.8
trinity,ERR4204831,12.5
spades,ERR4204831,14.8
metaspades,ERR4204831,29.5
abyss21,ERR4204831,17.1
abyss63,ERR4204831,17.4
abyss99,ERR4204831,17.5
velvet21,ERR4204831,15.0
metavelvet21,ERR4204831,15.1
velvet63,ERR4204831,13.7
metavelvet63,ERR4204831,13.7
velvet99,ERR4204831,12.9
metavelvet99,ERR4204831,12.6
ray21,ERR4204831,17.5
ray63,ERR4204831,17.8
ray99,ERR4204831,17.5
megahit,ERR4206263,12.9
trinity,ERR4206263,12.5
spades,ERR4206263,16.1
metaspades,ERR4206263,30.4
abyss21,ERR4206263,17.3
abyss63,ERR4206263,17.7
abyss99,ERR4206263,17.5
velvet21,ERR4206263,15.9
metavelvet21,ERR4206263,15.9
velvet63,ERR4206263,16.2
metavelvet63,ERR4206263,16.1
velvet99,ERR4206263,13.7
metavelvet99,ERR4206263,13.7
ray21,ERR4206263,17.7
ray63,ERR4206263,17.7
ray99,ERR4206263,17.7
megahit,ERR4205464,13.0
trinity,ERR4205464,12.6
spades,ERR4205464,18.5
metaspades,ERR4205464,31.8
abyss21,ERR4205464,17.5
abyss63,ERR4205464,18.0
abyss99,ERR4205464,17.9
velvet21,ERR4205464,17.4
metavelvet21,ERR4205464,17.5
velvet63,ERR4205464,16.0
metavelvet63,ERR4205464,16.6
velvet99,ERR4205464,16.0
metavelvet99,ERR4205464,16.4
ray21,ERR4205464,18.3
ray63,ERR4205464,18.1
ray99,ERR4205464,18.1
megahit,ERR4316795,13.3
trinity,ERR4316795,12.6
spades,ERR4316795,21.2
metaspades,ERR4316795,31.9
abyss21,ERR4316795,17.3
abyss63,ERR4316795,17.3
abyss99,ERR4316795,17.4
velvet21,ERR4316795,17.4
metavelvet21,ERR4316795,17.4
velvet63,ERR4316795,16.6
metavelvet63,ERR4316795,16.6
velvet99,ERR4316795,16.5
metavelvet99,ERR4316795,16.6
ray21,ERR4316795,18.4
ray63,ERR4316795,18.5
ray99,ERR4316795,18.6
megahit,ERR4316392,13.5
trinity,ERR4316392,12.8
spades,ERR4316392,23.6
metaspades,ERR4316392,33.0
abyss21,ERR4316392,17.3
abyss63,ERR4316392,17.5
abyss99,ERR4316392,17.6
velvet21,ERR4316392,19.1
metavelvet21,ERR4316392,17.8
velvet63,ERR4316392,15.9
metavelvet63,ERR4316392,15.9
velvet99,ERR4316392,15.9
metavelvet99,ERR4316392,15.9
ray21,ERR4316392,17.5
ray63,ERR4316392,17.7
ray99,ERR4316392,17.7
megahit,ERR4316516,15.3
trinity,ERR4316516,14.3
spades,ERR4316516,29.2
metaspades,ERR4316516,38.0
abyss21,ERR4316516,19.3
abyss63,ERR4316516,19.7
abyss99,ERR4316516,19.7
