Assembly	Scaffolds
# contigs (>= 0 bp)	22
# contigs (>= 1000 bp)	12
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	34351
Total length (>= 1000 bp)	27580
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	21
Largest contig	4113
Total length	33991
Reference length	29903
GC (%)	38.33
Reference GC (%)	37.97
N50	2236
NG50	2419
N75	1179
NG75	1760
L50	6
LG50	5
L75	11
LG75	9
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	5
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	95.659
Duplication ratio	1.188
# N's per 100 kbp	3171.43
# mismatches per 100 kbp	41.95
# indels per 100 kbp	3.50
# genomic features	24 + 25 part
Largest alignment	3762
Total aligned length	32870
NA50	2175
NGA50	2236
NA75	1165
NGA75	1449
LA50	6
LGA50	5
LA75	12
LGA75	9
