Assembly	SRR11597163_scaffolds
# contigs (>= 0 bp)	21192
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	2094677
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	510
Total length	1014
Reference length	29903
GC (%)	48.62
Reference GC (%)	37.97
N50	510
N75	504
L50	1
L75	2
# unaligned contigs	2 + 0 part
Unaligned length	1014
# N's per 100 kbp	0.00
NGA50	-
