Assembly	scaffolds
# contigs (>= 0 bp)	91
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29453
Total length (>= 1000 bp)	1934
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	1934
Total length	7551
Reference length	29903
GC (%)	55.86
Reference GC (%)	37.97
N50	655
N75	568
L50	4
L75	7
# unaligned contigs	10 + 0 part
Unaligned length	7551
# N's per 100 kbp	0.00
NGA50	-
