Assembly	Scaffolds
# contigs (>= 0 bp)	46
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	12767
Total length (>= 1000 bp)	2630
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	1372
Total length	5476
Reference length	29903
GC (%)	58.78
Reference GC (%)	37.97
N50	910
N75	718
L50	3
L75	4
# unaligned contigs	6 + 0 part
Unaligned length	5476
# N's per 100 kbp	0.00
NGA50	-
