Assay_Type	LibrarySource	LibraryLayout	NumberOfSamples
AMPLICON	METAGENOMIC	SINGLE	41
AMPLICON	SYNTHETIC	SINGLE	136
AMPLICON	VIRAL RNA	PAIRED	5254
AMPLICON	VIRAL RNA	SINGLE	6507
OTHER	METAGENOMIC	PAIRED	1
OTHER	VIRAL RNA	PAIRED	68
RNA-Seq	GENOMIC	PAIRED	1
RNA-Seq	METAGENOMIC	PAIRED	9
RNA-Seq	METAGENOMIC	SINGLE	9
RNA-Seq	METATRANSCRIPTOMIC	PAIRED	9
RNA-Seq	TRANSCRIPTOMIC	PAIRED	16
RNA-Seq	TRANSCRIPTOMIC	SINGLE	3
RNA-Seq	VIRAL RNA	PAIRED	682
RNA-Seq	VIRAL RNA	SINGLE	654
Targeted-Capture	VIRAL RNA	PAIRED	194
Targeted-Capture	VIRAL RNA	SINGLE	241
WGA	GENOMIC	PAIRED	6
WGA	METAGENOMIC	PAIRED	5
WGA	VIRAL RNA	PAIRED	1061
WGS	GENOMIC	PAIRED	11
WGS	METAGENOMIC	PAIRED	6
WGS	VIRAL RNA	PAIRED	93
