Assembly	scaffolds
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29241
Total length (>= 1000 bp)	29241
Total length (>= 5000 bp)	26136
Total length (>= 10000 bp)	13784
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	13784
Total length	29241
Reference length	29903
GC (%)	38.17
Reference GC (%)	37.97
N50	6811
NG50	6811
N75	5541
NG75	5541
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	96.576
Duplication ratio	1.013
# N's per 100 kbp	0.00
# mismatches per 100 kbp	13.85
# indels per 100 kbp	3.46
# genomic features	36 + 13 part
Largest alignment	13781
Total aligned length	28924
NA50	6735
NGA50	6735
NA75	5492
NGA75	5492
LA50	2
LGA50	2
LA75	3
LGA75	3
