Assembly	transcripts
# contigs (>= 0 bp)	21
# contigs (>= 1000 bp)	11
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	35775
Total length (>= 1000 bp)	30273
Total length (>= 5000 bp)	5023
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	5023
Total length	33381
Reference length	29903
GC (%)	37.93
Reference GC (%)	37.97
N50	3500
NG50	3500
N75	1657
NG75	2482
L50	4
LG50	4
L75	8
LG75	6
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	4424
# local misassemblies	2
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	94.151
Duplication ratio	1.186
# N's per 100 kbp	0.00
# mismatches per 100 kbp	42.62
# indels per 100 kbp	0.00
# genomic features	32 + 17 part
Largest alignment	5023
Total aligned length	33337
NA50	2545
NGA50	3012
NA75	1657
NGA75	1966
LA50	5
LGA50	4
LA75	9
LGA75	7
