Assembly	SRR11813146
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30414
Total length (>= 1000 bp)	29844
Total length (>= 5000 bp)	29844
Total length (>= 10000 bp)	29844
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	19506
Total length	29844
Reference length	29903
GC (%)	38.02
Reference GC (%)	37.97
N50	19506
NG50	19506
N75	10338
NG75	10338
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.652
Duplication ratio	1.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	26.85
# indels per 100 kbp	0.00
# genomic features	44 + 5 part
Largest alignment	19484
Total aligned length	29799
NA50	19484
NGA50	19484
NA75	10315
NGA75	10315
LA50	1
LGA50	1
LA75	2
LGA75	2
