Assembly	ERR4329229
# contigs (>= 0 bp)	28
# contigs (>= 1000 bp)	16
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	36321
Total length (>= 1000 bp)	29983
Total length (>= 5000 bp)	5129
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	23
Largest contig	5129
Total length	34518
Reference length	29903
GC (%)	37.99
Reference GC (%)	37.97
N50	1750
NG50	1753
N75	1286
NG75	1356
L50	7
LG50	6
L75	13
LG75	10
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	90.115
Duplication ratio	1.281
# N's per 100 kbp	0.00
# mismatches per 100 kbp	66.80
# indels per 100 kbp	18.55
# genomic features	24 + 25 part
Largest alignment	5129
Total aligned length	34373
NA50	1750
NGA50	1753
NA75	1286
NGA75	1356
LA50	7
LGA50	6
LA75	13
LGA75	10
