Assembly	transcripts
# contigs (>= 0 bp)	55
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	53136
Total length (>= 1000 bp)	29250
Total length (>= 5000 bp)	24599
Total length (>= 10000 bp)	24599
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	8
Largest contig	24599
Total length	33171
Reference length	29903
GC (%)	38.95
Reference GC (%)	37.97
N50	24599
NG50	24599
N75	4651
NG75	24599
L50	1
LG50	1
L75	2
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	5 + 0 part
Unaligned length	3246
Genome fraction (%)	99.722
Duplication ratio	1.004
# N's per 100 kbp	0.00
# mismatches per 100 kbp	36.89
# indels per 100 kbp	3.35
# genomic features	40 + 9 part
Largest alignment	24583
Total aligned length	29909
NA50	24583
NGA50	24583
NA75	4651
NGA75	24583
LA50	1
LGA50	1
LA75	2
LGA75	1
