Assembly	ERR4305284_scaffolds
# contigs (>= 0 bp)	16
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29527
Total length (>= 1000 bp)	25868
Total length (>= 5000 bp)	5188
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	5188
Total length	28786
Reference length	29903
GC (%)	37.93
Reference GC (%)	37.97
N50	3486
NG50	3486
N75	1865
NG75	1865
L50	4
LG50	4
L75	6
LG75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	95.532
Duplication ratio	1.008
# N's per 100 kbp	3.47
# mismatches per 100 kbp	28.00
# indels per 100 kbp	3.50
# genomic features	32 + 17 part
Largest alignment	5188
Total aligned length	28786
NA50	3486
NGA50	3486
NA75	1865
NGA75	1865
LA50	4
LGA50	4
LA75	6
LGA75	6
