Assembly	ERR4329421.contigs
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29710
Total length (>= 1000 bp)	29710
Total length (>= 5000 bp)	25020
Total length (>= 10000 bp)	19472
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	19472
Total length	29710
Reference length	29903
GC (%)	38.10
Reference GC (%)	37.97
N50	19472
NG50	19472
N75	5548
NG75	5548
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.194
Duplication ratio	1.012
# N's per 100 kbp	0.00
# mismatches per 100 kbp	20.43
# indels per 100 kbp	3.41
# genomic features	44 + 5 part
Largest alignment	19263
Total aligned length	29501
NA50	19263
NGA50	19263
NA75	5548
NGA75	5548
LA50	1
LGA50	1
LA75	2
LGA75	2
