Assembly	SRR12045842.contigs
# contigs (>= 0 bp)	31
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	18021
Total length (>= 1000 bp)	3260
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	2000
Total length	10248
Reference length	29903
GC (%)	53.42
Reference GC (%)	37.97
N50	787
N75	677
L50	5
L75	8
# unaligned contigs	12 + 0 part
Unaligned length	10248
# N's per 100 kbp	0.00
NGA50	-
