Assembly	SRR11577969.contigs
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29402
Total length (>= 1000 bp)	28805
Total length (>= 5000 bp)	28805
Total length (>= 10000 bp)	22270
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	22270
Total length	29402
Reference length	29903
GC (%)	37.93
Reference GC (%)	37.97
N50	22270
NG50	22270
N75	22270
NG75	6535
L50	1
LG50	1
L75	1
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.238
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	27.23
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	22270
Total aligned length	29376
NA50	22270
NGA50	22270
NA75	22270
NGA75	6535
LA50	1
LGA50	1
LA75	1
LGA75	2
