Assembly	contigs
# contigs (>= 0 bp)	322
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	56041
Total length (>= 1000 bp)	1243
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	16
Largest contig	1243
Total length	11330
Reference length	29903
GC (%)	37.56
Reference GC (%)	37.97
N50	685
N75	634
L50	7
L75	11
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	37.993
Duplication ratio	0.997
# N's per 100 kbp	0.00
# mismatches per 100 kbp	44.01
# indels per 100 kbp	8.80
# genomic features	8 + 21 part
Largest alignment	1243
Total aligned length	11328
NA50	685
NGA50	-
NA75	634
LA50	7
LA75	11
